id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,last_fico_range_high,last_fico_range_low,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit
1077501,1296599,5000,5000,4975, 36 months,0.1065,162.87,B,B2,,10+ years,RENT,24000,Verified,2011-12,Fully Paid,false,https://lendingclub.com/browse/loanDetail.action?loan_id=1077501,  Borrower added on 12/22/11 > I need to upgrade my business technologies.<br>,credit_card,Computer,860xx,AZ,27.65,0,1985-01,735,739,1,,,3,0,13648,0.837,9,false,0.00,0.00,5863.1551866952,5833.84,5000.00,863.16,0.0,0.0,0.0,2015-01,171.62,,2016-09,744,740,false,,true,INDIVIDUAL,,,,false,,,,,,,,,,,,,,,,,,,,,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,false,,,,
1077430,1314167,2500,2500,2500, 60 months,0.1527,59.83,C,C4,Ryder,< 1 year,RENT,30000,Source Verified,2011-12,Charged Off,false,https://lendingclub.com/browse/loanDetail.action?loan_id=1077430,  Borrower added on 12/22/11 > I plan to use this money to finance the motorcycle i am looking at. I plan to have it paid off as soon as possible/when i sell my old bike. I only need this money because the deal im looking at is to good to pass up.<br><br>  Borrower added on 12/22/11 > I plan to use this money to finance the motorcycle i am looking at. I plan to have it paid off as soon as possible/when i sell my old bike.I only need this money because the deal im looking at is to good to pass up. I have finished college with an associates degree in business and its takingmeplaces<br>,car,bike,309xx,GA,1,0,1999-04,740,744,5,,,3,0,1687,0.094,4,false,0.00,0.00,1008.71,1008.71,456.46,435.17,0.0,117.08,1.11,2013-04,119.66,,2016-09,499,0,false,,true,INDIVIDUAL,,,,false,,,,,,,,,,,,,,,,,,,,,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,false,,,,
1070078,1305201,6500,6500,6500, 60 months,0.1465,153.45,C,C3,Southwest Rural metro,5 years,OWN,72000,Not Verified,2011-12,Fully Paid,false,https://lendingclub.com/browse/loanDetail.action?loan_id=1070078,"  Borrower added on 12/15/11 > I had recived a loan from Citi Financial about a year ago, I was paying 29.99 intrest, so the refinance is to cut that rate since cleaning up my credit I have been paying everything on time as shown on my credit report<br>",debt_consolidation,High intrest Consolidation,853xx,AZ,16.12,0,1998-01,695,699,2,,,14,0,4032,0.206,23,false,0.00,0.00,7678.0176729717,7678.02,6500.00,1178.02,0.0,0.0,0.0,2013-06,1655.54,,2015-12,734,730,false,,true,INDIVIDUAL,,,,false,,,,,,,,,,,,,,,,,,,,,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,false,,,,
1068509,1302907,6200,6200,6200, 36 months,0.0991,199.8,B,B1,Sunrise Senior Living,2 years,RENT,25000,Not Verified,2011-12,Charged Off,false,https://lendingclub.com/browse/loanDetail.action?loan_id=1068509,  Borrower added on 12/14/11 > This loan will consolidate a current personal loan from Wells Fargo and a high rate chase visa card. The money currently alotted to those obligations will be used towards payment of this loan.<br>,debt_consolidation,Wells/Chase ReFi,902xx,CA,20.64,0,1998-05,710,714,2,,,7,0,6533,0.477,12,false,0.00,0.00,2452.22,2452.22,1700.79,493.16,0.0,258.27,2.54,2012-12,199.8,,2016-09,574,570,false,,true,INDIVIDUAL,,,,false,,,,,,,,,,,,,,,,,,,,,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,false,,,,
1057330,1288893,14000,14000,14000, 36 months,0.1427,480.33,C,C2,CTA Digital,< 1 year,RENT,35000,Source Verified,2011-12,Fully Paid,false,https://lendingclub.com/browse/loanDetail.action?loan_id=1057330,"  Borrower added on 12/05/11 > I plan to use these funds to better manage my debt consolidation and clear it within 3 years. I am stably employed with an established and successful company invested in growth. I have a clear budget planned, recently paid off my car and I am committed to organizing my finances for a more secure future. <br>",debt_consolidation,Debt Clearing Commitment Plan,111xx,NY,8.4,0,2001-11,680,684,1,,,12,0,13018,0.657,30,false,0.00,0.00,16745.8014302029,16745.80,14000.00,2745.80,0.0,0.0,0.0,2013-12,4746.25,,2013-12,794,790,false,,true,INDIVIDUAL,,,,false,,,,,,,,,,,,,,,,,,,,,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,false,,,,
840110,1050433,1000,1000,1000, 36 months,0.1099,32.74,B,B3,SoundCloud,< 1 year,RENT,30000,Not Verified,2011-08,Fully Paid,false,https://lendingclub.com/browse/loanDetail.action?loan_id=840110,,debt_consolidation,Debt Consolidation,956xx,CA,23.12,0,2006-01,700,704,1,,,5,0,4558,0.524,8,false,0.00,0.00,1178.3847232651,1178.38,1000.00,178.38,0.0,0.0,0.0,2014-08,36.94,,2016-09,689,685,false,,true,INDIVIDUAL,,,,false,,,,,,,,,,,,,,,,,,,,,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,false,,,,
839671,1049845,9600,9600,9600, 36 months,0.0599,292.01,A,A2,Onyx Power,4 years,MORTGAGE,96000,Not Verified,2011-08,Fully Paid,false,https://lendingclub.com/browse/loanDetail.action?loan_id=839671,"  Borrower added on 08/04/11 > Please process - thank you.<br/> Borrower added on 08/08/11 > Hello - These funds will be used for purchasing a 1966 mustang that has less that 14,000 miles. It has been garage kept for over 30 years and is in incredible condition.  There are some aspects of the car that need attention but I plan to have it refurbed and resold before the end of the year.<br/><br/>I have only one major long term debt - Mortgage $1,270.04<br/>I have only two credit cards that I use for travel for work and they are usually paid off every month.<br/>My job is stable.  I have been in the same field for over 30 years.<br/>I had no idea that this type of lending group existed.  I plan on becoming an investor as well.  Thank you very much for your consideration.<br/>",car,66 Mustang,208xx,MD,1.6,0,1987-11,785,789,1,,,7,0,618,0.063,11,false,0.00,0.00,10512.246093766202,10512.25,9600.00,912.25,0.0,0.0,0.0,2014-08,295.4,,2016-09,744,740,false,,true,INDIVIDUAL,,,,false,,,,,,,,,,,,,,,,,,,,,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,false,,,,
840091,1050409,2850,2850,2850, 36 months,0.0599,86.69,A,A2,"Abcd, inc",5 years,RENT,90000,Not Verified,2011-08,Fully Paid,false,https://lendingclub.com/browse/loanDetail.action?loan_id=840091,,vacation,vacaciones 2,021xx,MA,27.65,0,2005-09,740,744,0,,,20,0,6339,0.092,28,false,0.00,0.00,3116.5404725939,3116.54,2850.00,266.54,0.0,0.0,0.0,2014-04,430.5,,2016-01,784,780,false,,true,INDIVIDUAL,,,,false,,,,,,,,,,,,,,,,,,,,,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,false,,,,
840064,1050374,20000,20000,19950, 60 months,0.1299,454.96,C,C1,Invest Financial Corp,4 years,MORTGAGE,70000,Verified,2011-08,Fully Paid,false,https://lendingclub.com/browse/loanDetail.action?loan_id=840064,"  Borrower added on 08/04/11 > I am looking for this loan to consolidate some credit card debt that was acquired from a previous business.  I have a very stable job with a good salaried income and I have moved up within the company two times since starting with the firm in 2008.  My company is a growing firm and while other firms are laying off my company has been steadily increasing our staff as our business increases.  I do not work for a small company, we have over $24 billion dollars in assets managed by over 1300 financial advisors. I am an educated person with both an MBA and CFP so I understand finances and if not for the previous business would not have acquired the level of credit card debt I have.<br/>",debt_consolidation,debt consolidation,346xx,FL,10.29,0,1993-10,750,754,1,,,20,0,7433,0.234,45,false,0.00,0.00,26187.71,26122.24,20000.00,6187.71,0.0,0.0,0.0,2014-10,9427.48,,2016-03,729,725,false,,true,INDIVIDUAL,,,,false,,,,,,,,,,,,,,,,,,,,,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,false,,,,
840046,1050351,2000,2000,2000, 36 months,0.0542,60.32,A,A1,Canyon View Vineyard Church,5 years,MORTGAGE,60000,Not Verified,2011-08,Fully Paid,false,https://lendingclub.com/browse/loanDetail.action?loan_id=840046,,car,Motorcycle,815xx,CO,1.88,0,1984-09,775,779,1,43,,6,0,2260,0.167,29,false,0.00,0.00,2171.2359834938,2171.24,2000.00,171.24,0.0,0.0,0.0,2014-07,126.62,,2016-09,799,795,false,,true,INDIVIDUAL,,,,false,,,,,,,,,,,,,,,,,,,,,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,false,,,,
